param,post_mean,post_sd,q05,q50,q95
nu,0.3822965743839741,0.13378422192846487,0.18929458111524583,0.36924706399440765,0.6261501222848892
r,9.560710972309112,1.4123680332829647,7.174829912185669,9.55777883529663,11.82922430038452
muT,200.99863386535645,6.692385156199886,189.89130325317382,201.11541748046875,211.6267936706543
beta,0.3307913937976118,0.2202730209935823,0.049608109146356584,0.2901841104030609,0.7593288362026213
