case,param,true,post_mean,post_sd,q05,q50,q95,in_90ci
0,nu,0.3012876808643341,0.48338720232248306,0.3053659416618008,0.029217441380023978,0.46488747000694275,0.9613053917884826,True
0,r,4.976834774017334,4.749474414825439,0.7761346412316772,3.3545457124710083,4.767634630203247,6.031221199035644,True
0,muT,166.9290008544922,156.99684649658204,10.451804769484138,141.0394371032715,157.2498016357422,173.5122512817383,True
1,nu,0.4054868817329407,0.5232469221353531,0.2877602247400367,0.05544156134128571,0.5233664810657501,1.0136841595172879,True
1,r,2.732937812805176,2.776195331096649,0.5066087409919748,1.868060851097107,2.7899409532546997,3.5353575348854065,True
1,muT,224.25892639160156,222.78927362060546,12.008688608262778,204.26829833984374,222.57940673828125,242.6605445861816,True
2,nu,0.33097508549690247,0.5356824009120464,0.27039534446303654,0.10703056752681733,0.5355779826641083,0.9882073670625685,True
2,r,5.374886989593506,7.5680006041526795,2.4036233721995077,3.5192203879356385,7.690176963806152,11.349614191055297,True
2,muT,394.02386474609375,391.24803021240234,16.057356121567665,364.7037628173828,391.24757385253906,420.11574096679686,True
3,nu,0.9768403768539429,0.500707534790039,0.291710464425681,0.026319451630115533,0.4947640001773834,0.9813251882791507,True
3,r,1.2885445356369019,1.4587379398345948,0.3908729426874275,0.8255094289779663,1.45194673538208,2.1131818413734433,True
3,muT,292.1649169921875,308.0238764038086,16.25922038795226,281.7283874511719,308.2962951660156,333.8661682128906,True
4,nu,0.8494927883148193,0.6352853192090988,0.15131395897698272,0.3976333513855934,0.6362248659133911,0.8945483565330505,True
4,r,11.670504570007324,10.307033836364747,1.2357138669130314,8.262969064712525,10.299115180969238,12.25301694869995,True
4,muT,311.2452697753906,303.9028367919922,16.8262324660869,276.9800598144531,304.0694885253906,332.5569702148438,True
5,nu,0.4150678813457489,0.481653088927269,0.26857676923277557,0.048816016316413885,0.47586172819137573,0.9403006613254546,True
5,r,6.50058650970459,6.612729778289795,0.9876693861845077,4.883187866210937,6.683006286621094,8.227870798110962,True
5,muT,114.19646453857422,110.41386651611329,11.448394132000885,92.28408432006836,109.57744598388672,131.69377517700192,True
6,nu,0.8930258750915527,0.46176161682605743,0.30539985272037834,-0.01973230242729185,0.4457714408636093,0.961350384354591,True
6,r,7.3254265785217285,6.4055642318725585,1.3463133016718578,4.19577808380127,6.4392571449279785,8.765142059326172,True
6,muT,257.9678649902344,246.2406828918457,14.19714043254631,223.70730285644532,245.75634765625,270.7713195800781,True
7,nu,0.029593978077173233,0.42638251394033433,0.2938667130194754,-0.039771550893783564,0.42233507335186005,0.9261022835969922,True
7,r,0.6784343719482422,0.18598274993896485,0.29037725337331005,-0.2910116195678711,0.17497634887695312,0.6477176666259764,False
7,muT,295.6773376464844,312.08153088378907,22.280516906427387,276.51331634521483,311.817626953125,347.2254699707031,True
8,nu,0.9041824340820312,0.569728583008051,0.23733003209711423,0.19827232360839847,0.5666126608848572,0.9599714815616606,True
8,r,9.485135078430176,8.692598292827606,1.780598847761735,6.041029691696167,8.601827144622803,11.670799350738523,True
8,muT,294.7706604003906,301.24859078979495,17.71280085063334,272.43413696289065,301.4160614013672,330.2717178344726,True
